address,balance
0xe46ece55a33eb3c4020fed0679f0c9c515ae7a34,0.0001
0x23585728e97e4405ad219ad5b402d05e97f01d37,0.0001
0xcbee27cbcd6bd6750bf4a0103cd6b61ebc86cdc8,0.0001
0x89fd8ea1ae00284964d4c1db576bedbc893fcfab,0.0001
0x995ebeb70cb1ca59c25c61d70bbb482b3612e04b,0.0001
0x87afa22dcd9f9f67afbc3226389024eeb11e5bf1,0.0001
0x5f59ccae54579d5dee672b84aebb79b6372cd23c,1e-08
0xce01fef696800fd565e02d8e14ab7d1ccfeb3425,1e-08
0x89606176facdaf54e22b034f2a5e27adb8d7c790,1e-08
0x729494ffb6b885df339a093403fadf6035beec8d,0.0001
0x69ce61d2d6f95767f503c6617e409c22bdeec482,1e-08
0x8deaa081bf8021a305752386dd8be7a5f9554676,1e-08
0xa16ab6172f85648d3008be71f4e6e52a406e5034,1e-08
0xad6ef99c8261ba3e35e04bdb2f5230747eac5722,1e-08
0x2a5c65b806ba5bb4084bf324717408f8efe765e0,1e-08
0x685adca389a4d4651279d9199d54483e50ec48ed,0.0001
0xbfd19775319ef46afa6dff8def66afe645a3cdb9,0.0001
0x24f920e4d849f7240941d5e9507901f0245b9c4b,1e-08
0x94da6b521582a4183f58c2a03e3f13a5489c7f32,0.0001
0xce243d72e2d430e5d5a2f6a5ef54a58a1f678e0e,0.0001
0x837051db293817c39a18144829857ec3f9e5f1dc,0.0001
0xf43379238f9259ecd880f8faf1af80679dec6612,30.0001
0x72358e1d2e93a9ff96eadbc575f1ef0af021d0d9,0.0001
0xd36f8cfe99b807c561269d1485d62039669def4d,0.0001
0x5cf16931644c430f093ecc19df893222ad762a78,0.0001
0xfb48b6a9c7e99c9860e6e8b1b5f1394005b36519,0.0001
0xa300ecfe5b53e4ca921fc04e44af95de67f61a6c,0.0001
0x27273be0496fe76d89a9ad433dfa5d75744ceb16,0.0001
0x18b794cbf693e74f3bd50cb67d511ef46e8265cb,0.0001
0xe4236fef8ba1b0b6a5c480aa3b6f587600d3a581,0.0001
0x64dbf0058c6939c56512d249dfa4fdcb7382a13c,1e-08
0x6f20ef474882c4bc748e4ef89f8e220fa958e4a0,0.0001
0xaaec1b762159bb1fb42331e24854c3658861f7c9,0.0001
0x190254a4a0a699ab0eeb761eb6972cf3fdc537de,1e-08
0x88a5790ba03a5c014b356bf3f1a446d9646baaaa,0.0001
0x88dfa77963abcdbaca7e7607c240611ebc080bd7,0.0001
0xaaedf4cd43eac9f8f17ccdcc368d83871034ff6d,0.0001
