wallet_address,erc20_txcount_sent_to_brdg,erc20_total_sent_to_brdg,erc20_txcount_received_from_brdg,erc20_total_received_from_brdg,erc20_net_balance,t12_txcnt_sent_to_brdg,t12_total_sent_to_brdg,t12_txcnt_received_from_brdg,t12_total_received_from_brdg,t12_net_balance,diff_net_balance
0x800283a22abe499ea7450d962f3222a47d084d5a,0,0.0,68,14834.319256710001,14834.319256710001,68,14834.3192567,0,0.0,-14834.3192567,1.0000803740695119e-08
0x01cac516095d4e77d082feec4bf09624a6c451e4,0,0.0,10,14738.07,14738.07,10,14738.069999970001,0,0.0,-14738.069999970001,2.9998773243278265e-08
0x89ef198907968d330eb342ecff94a8bd4e2a9939,0,0.0,11,14382.652934020001,14382.652934020001,14,15946.65293399,0,0.0,-15946.65293399,-1563.9999999699994
0x9d0e1bed5ad10ae2ac11ba3e9d027d84e6b5c510,0,0.0,7,14268.0,14268.0,7,14268.0,0,0.0,-14268.0,0.0
0x43c3c1a30b3f8cb0fde7c1bd32fd2b8938c32016,0,0.0,2,14000.0,14000.0,2,14000.0,0,0.0,-14000.0,0.0
0xb94a7c31946a32b1bb3ae6c2099812d0d023a649,0,0.0,1,13813.0,13813.0,0,0.0,0,0.0,0.0,13813.0
0x6d76c2b92ebb7a4603234b22e6d01b83a9435c9e,0,0.0,13,13564.19680011,13564.19680011,13,13564.19680011,0,0.0,-13564.19680011,0.0
0x10e3256ccdae635530193348707ea3173350d542,0,0.0,15,13493.0866374,13493.0866374,17,14493.0866374,0,0.0,-14493.0866374,-1000.0
0x8371742eb0d3672cabb0f332c70f449644b1d669,0,0.0,21,13305.75,13305.75,21,13305.749999940002,0,0.0,-13305.749999940002,5.999754648655653e-08
0x5eab7c553d6259e218094a61f4a3ca05aaa4f927,0,0.0,11,13244.2,13244.2,14,14649.2,0,0.0,-14649.2,-1405.0
0xef928f9cb209a198d4efa72bd33215d2929e02bf,0,0.0,4,13125.0,13125.0,4,13125.0,0,0.0,-13125.0,0.0
0x8db24e73b71381fb9bd8b775c0bbed8bd67c9646,0,0.0,2,13092.0,13092.0,0,0.0,0,0.0,0.0,13092.0
0x786398f8d3b1c97d508c938a8bedd4568bba02ff,0,0.0,16,13031.93583021,13031.93583021,16,13031.93583021,0,0.0,-13031.93583021,0.0
0x20f1daca554771037fa6799d74f1679b53993f91,0,0.0,37,12889.943964160002,12889.943964160002,37,12889.943964159998,0,0.0,-12889.943964159998,3.637978807091713e-12
0x9ae7c9b34a859e08a3937b840ad3288bbb946624,0,0.0,6,12654.0,12654.0,6,12653.999999990001,0,0.0,-12653.999999990001,9.998984751291573e-09
0xb88384ee60afdb6401c633e9b54835fc1d163ff0,3,475.0,38,13127.8,12652.8,40,12887.400099540002,160,12857.49999955003,-29.90009998997266,12622.899900010027
0xa079d9c648686cfd09bd967c68809829e4b70ed6,0,0.0,2,11795.0,11795.0,2,11795.0,0,0.0,-11795.0,0.0
0x43fedf6abfd39cb6355be2952b402526e0ce4ccc,0,0.0,34,11603.62069315,11603.62069315,31,11263.620693150002,0,0.0,-11263.620693150002,339.9999999999982
0xe7689dbe86ad6da6e01dac1ce273995b5a3ac9a1,0,0.0,10,11540.0,11540.0,10,11540.0,0,0.0,-11540.0,0.0
0x42d5a37dde83a72665b64375e3615b4bc78b5799,0,0.0,4,11084.0,11084.0,4,11084.0,0,0.0,-11084.0,0.0
0xf7d409bc476d13c34545de468a86ea9105bbba00,0,0.0,1,10978.195,10978.195,0,0.0,0,0.0,0.0,10978.195
0x1db8ed5d65059d0da7c027339cfb6256f9a9fb83,0,0.0,7,10219.9662,10219.9662,10,12720.966199999999,0,0.0,-12720.966199999999,-2500.999999999998
0xdd14b156e69e10b188a188a07c2740b1038ae067,0,0.0,12,10169.376545600002,10169.376545600002,16,19603.3765456,0,0.0,-19603.3765456,-9433.999999999998
0x05bddd39e71880e281cb42c879a083bd8c10ebe8,0,0.0,1,10000.0,10000.0,1,10000.0,0,0.0,-10000.0,0.0
0x07c388f50bf201bef3d361dc61d872fac2751284,0,0.0,2,10000.0,10000.0,2,10000.0,0,0.0,-10000.0,0.0
0x07735d1ff954ba5b4d7d3fabdd305de1d5956006,0,0.0,4,9434.0,9434.0,0,0.0,0,0.0,0.0,9434.0
0x48cf4d72d76a86aa6529c12f146c171cd1e45110,0,0.0,2,9379.0,9379.0,2,9379.0,0,0.0,-9379.0,0.0
0x0e5280ac2d7ee64e3c2c29017b124edee3641182,3,8107.8369999999995,19,17464.90838759,9357.07138759,20,18392.90838757,3,8107.83699999,-10285.071387580003,-927.9999999900028
0x0ebebbc4b85e21533e2a2ed4c3c864205dbe6a52,0,0.0,10,9311.0,9311.0,12,11911.0,0,0.0,-11911.0,-2600.0
0x9416633849f2e28c2ab91ba82bc12c3dd882791b,0,0.0,7,9142.6,9142.6,7,9142.59999999,0,0.0,-9142.59999999,1.0000803740695119e-08
0x7fc98e87c51d48a37b1abc0732fed6e4981d7d61,1,2.0,8,9010.0,9008.0,10,11549.0,1,2.0,-11547.0,-2539.0
0x887f4070a35d9f03a531aee37ffd8368680969c7,0,0.0,8,9000.0,9000.0,8,9000.0,0,0.0,-9000.0,0.0
0x9d262a7f74289840343c25940b3d5083a37e4230,0,0.0,2,9000.0,9000.0,2,9000.0,0,0.0,-9000.0,0.0
0x82987e9e401df761f7fc2efcc071a3b0fd7c305c,0,0.0,10,8796.97974415,8796.97974415,11,8996.97974415,0,0.0,-8996.97974415,-200.0
0x2534dbb8e0dde9b902dd5e0bda24330d0ee6fd6e,0,0.0,6,8505.2830892,8505.2830892,6,9555.2830892,0,0.0,-9555.2830892,-1050.0
0xffda10ddcd1731b0d43e4c69559f6e0f4473da61,0,0.0,1,8400.0,8400.0,2,16800.0,0,0.0,-16800.0,-8400.0
