chain,hash,signed_amount,date,from,to,reason
ERC20,0xf719154a12de5b18616eef267cc1307dc7bcf795d88882dd77f751e8d20abe95,-18.0,2023-07-03T22:53:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x33af7e678dfa6ab21d0c617479fa248e30c7945a52d249d363d1a5f5e0291514,-18.0,2023-07-03T22:53:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x7050ee343642aedba6249504ed4d3eaba216b48c958356f9609bec387594eac9,-18.0,2023-07-03T22:53:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd9bb2dffe0a5452fa7cd18f36bff7594537c6cdbe33a0b77d6c20665f97822cd,-18.0,2023-07-03T22:54:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x8148d7c4ac95ad1f77a469d8ec1b8f08d00a454df19570e1e7c506429a3ffa56,-17.0,2023-07-03T22:54:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x361c5e59ceb88b647373bd307d4a7e52d802a4faef623ef1ebc557d3e70f792d,-17.0,2023-07-03T22:56:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x7631b02eaa73cc65b36360f5ef4c1d08bfde343baecb924dc3e66bb95e473c7a,-17.0,2023-07-03T22:57:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x3393119749fe12a80252f512078405ba66eb5d426f5760c2d79831396fef6e36,-17.0,2023-07-03T22:58:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xcba345defd007e1461a01d6d004e015dfce9df0dd6217ae7b84989b0c5a78d58,-17.0,2023-07-03T23:01:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd28353f948fcdb600e7cf855b5f7b15591ffbdf93fcd1860d5714daab7d0cb4c,-18.0,2023-07-03T23:01:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,c05dae5801c0d90917f4ee63ec64431eaffc1d1344c59c45065d358e6b2447b2,66.7,2023-07-03T23:03:47.761000+00:00,0xbe3a603e311d13fb98e213ba9ffdf07e770354e4,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xd607733967ee13e7340839f08075a4c9784ca4f2d55837b07924f9c1de70831a,-18.0,2023-07-03T23:03:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd8b90a0dccccf9d2ee102afa9daad888593e9628355390ac79e3d5280c895758,-17.0,2023-07-03T23:07:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x17baa96e7ddafdd3b1b0edc5964cc13de76e6117309eb86a45638668c5eed309,-18.0,2023-07-03T23:08:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xe5b0e65f8c9e6a1c2a3b7c114199452e26c7459a0c98a8a86e526342d77a48e8,-18.0,2023-07-03T23:08:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x2d6cab3b73c91199eb5233da9e1749be4d2be8887c1e2b5283dc67d6bc9df2af,-18.0,2023-07-03T23:09:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x727e9aed4cf1291256cbd6de2ac3ec93fdf613b2dece286f0201892fea476ce3,-50.0,2023-07-03T23:09:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x77050305963c8186a59ce27553ae295115e56cfe,No matching T12 transaction found within 23040 min tolerance
ERC20,0x5578746163780aeb0c02faa8bbe62beb599f7f692f92d00ac19c922e5f494693,-17.0,2023-07-03T23:10:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xbe20421fb88619819169743e3ac0da26a475824e1854d204690a0ca0158afb40,-17.0,2023-07-03T23:11:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xb8a2c4a968b6b594e148d0efadac508a24868088672069ca61d998c5ef6eec56,-17.0,2023-07-03T23:11:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x0fe6c5a986f85dd9afda01a53c2e9b4cbdb3af475953d67d44a88970a17e4dd4,-17.0,2023-07-03T23:11:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xa1d90ee9f0a24a9814c79605871dda52fd638dfeb69f3b321ad7904eeb991f53,-17.0,2023-07-03T23:12:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x408a66374cea4a131e71dc652ccb9574ac379b14e5fb985ca167407af6fc9056,-17.0,2023-07-03T23:14:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,f5cfbef7a90c0cc6a8711dae1559cf4b214b13d90e172269cd38c7d1748ea200,230.0,2023-07-03T23:14:34.639000+00:00,0x36c8e3f6ac7cb556183e8d7f65526039f6278a41,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0x924b742dc95f666286a7470680ba7ab17f10d8bfb4d5821f4e9d5d121c1320ef,-18.0,2023-07-03T23:14:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xad4617c21394c41de1d498407ef97ac209b8471b3d0bb4675c22ada3d9cf4eb3,-18.0,2023-07-03T23:15:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd3c9e5f71d9baecfc7b7e43baea22c2b9e6eba4493adec2df08f6926f84baa46,-17.0,2023-07-03T23:16:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x106303c4bb4955d97da47f3de398caa8a044e9d6d759829dd8cd7377ece24dee,-17.0,2023-07-03T23:16:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xa74c0c796d53bad965c2db217bd163f80357e2d69fe4ba8e1cc5f1ef833c92a3,-18.0,2023-07-03T23:17:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,6a45ace74c4e3579cf465a275744516e4dd154d2ce5f9e830a10a7d777eef344,22.0,2023-07-03T23:17:23.129000+00:00,0x314f5740673ad20c5b8f97a6891970a35b6a464f,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xe3a0c0950956a0c1acbc7b0e903882f971bd2d5a191d1a7200f7d7a04eb12358,-18.0,2023-07-03T23:17:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x4be0432223185622d1d5fdd5e8dbdb221ad287c3d0a48146cb031fa456c4f462,-18.0,2023-07-03T23:17:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x785f4065056a7deb0d0a116cdc66be927d9eb47292f65c003f6dbf558a6007cd,-16.0,2023-07-03T23:19:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x88a5399d4df988a41af446f1362cff61a9005e39683321a232f43ec6a49d954d,-18.0,2023-07-03T23:20:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x8ae7a665ec2a9ff8e98d9d65cbbead718d870345b873067e02d98fdf0f30ea08,-16.0,2023-07-03T23:21:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x05cfd7e1e18de1e1c6958f7002a9877bdaf4df66cc2e46755002258ebc9fb447,-17.0,2023-07-03T23:21:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x4ea40e59e023fdaaa781f0dbd7d38704bc7ed1da885e71a12f8838f973e30d2b,-16.0,2023-07-03T23:22:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x96fef25e1bcc9eebfc16c3c5735f61bf99ec4b7397b3cf8c997f2471d00d6e18,-18.0,2023-07-03T23:26:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xc227fc828d71fb7293080e2649cb13e53e12f154f599c568e61c61e7fb77a340,-17.0,2023-07-03T23:26:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x2d343ca6fe154204617122531c346a34c8998ae048ac547b62e1d32cd2b01aab,-17.0,2023-07-03T23:27:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xbf3edb8097460f9b33e58b1df4eb21ba06cc90ea22abceeae36cffc12ce350ba,-17.0,2023-07-03T23:28:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,6d87e1d44e769c4aedc0fed0653f2d6f421972996919cc573bdaf608b720caea,1.0,2023-07-03T23:29:06.429000+00:00,0xfb051e041dfaef4dd51a64f13f4adcf76a1e387f,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xcdee80109768b01862cb64f9100c8df375a845a32b77020abb7154e86d529392,-16.0,2023-07-03T23:30:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd31d610d8eebf17120a1bf938890397446b6ee87be49c03af6f4289871a66cac,-17.0,2023-07-03T23:30:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xa2d8b669c832065028f4979b2ae0a6f0502e3f50fbdc86680e4e2860a319fb53,-17.0,2023-07-03T23:31:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
